x,y,z,E,status,machine_type,file_name,E1
0.0,4.0,0.0,0.9429360591457224,Done,2,C6_x=0.0_y=4.0_z=0.0.log,0.0
0.1,4.0,0.0,0.9202245897031388,Done,2,C6_x=0.1_y=4.0_z=0.0.log,0.0
0.2,4.0,0.0,0.8537555929506198,Done,2,C6_x=0.2_y=4.0_z=0.0.log,0.0
0.3,4.0,0.0,0.7483464631368406,Done,1,C6_x=0.3_y=4.0_z=0.0.log,0.0
0.4,4.0,0.0,0.6111301064956933,Done,2,C6_x=0.4_y=4.0_z=0.0.log,0.0
0.5,4.0,0.0,0.4504793888190761,Done,2,C6_x=0.5_y=4.0_z=0.0.log,0.0
0.6,4.0,0.0,0.2751945105264894,Done,2,C6_x=0.6_y=4.0_z=0.0.log,0.0
0.7,4.0,0.0,0.0936376697500236,Done,1,C6_x=0.7_y=4.0_z=0.0.log,0.0
0.8,4.0,0.0,-0.0872521278797648,Done,2,C6_x=0.8_y=4.0_z=0.0.log,0.0
0.9,4.0,0.0,-0.2626449380186386,Done,2,C6_x=0.9_y=4.0_z=0.0.log,0.0
1.0,4.0,0.0,-0.4299817746505141,Done,2,C6_x=1.0_y=4.0_z=0.0.log,0.0
1.1,4.0,0.0,-0.5886200677487068,Done,1,C6_x=1.1_y=4.0_z=0.0.log,0.0
1.2,4.0,0.0,-0.7392914938391186,Done,2,C6_x=1.2_y=4.0_z=0.0.log,0.0
1.3,4.0,0.0,-0.8838039093534462,Done,2,C6_x=1.3_y=4.0_z=0.0.log,0.0
1.4,4.0,0.0,-1.0242864555330016,Done,2,C6_x=1.4_y=4.0_z=0.0.log,0.0
1.5,4.0,0.0,-1.1617343633552082,Done,1,C6_x=1.5_y=4.0_z=0.0.log,0.0
1.6,4.0,0.0,-1.2964676629635503,Done,2,C6_x=1.6_y=4.0_z=0.0.log,0.0
1.7,4.0,0.0,-1.4290203653508795,Done,2,C6_x=1.7_y=4.0_z=0.0.log,0.0
1.8,4.0,0.0,-1.557534413412213,Done,2,C6_x=1.8_y=4.0_z=0.0.log,0.0
1.9,4.0,0.0,-1.6800055400817655,Done,1,C6_x=1.9_y=4.0_z=0.0.log,0.0
2.0,4.0,0.0,-1.7926373099326156,Done,2,C6_x=2.0_y=4.0_z=0.0.log,0.0
2.1,4.0,0.0,-1.893476284458302,Done,2,C6_x=2.1_y=4.0_z=0.0.log,0.0
2.2,4.0,0.0,-1.9790328803355808,Done,2,C6_x=2.2_y=4.0_z=0.0.log,0.0
2.3,4.0,0.0,-2.046631395147415,Done,2,C6_x=2.3_y=4.0_z=0.0.log,0.0
2.4,4.0,0.0,-2.0950393990497105,Done,2,C6_x=2.4_y=4.0_z=0.0.log,0.0
0.0,4.1,0.0,-0.6001744093955494,Done,2,C6_x=0.0_y=4.1_z=0.0.log,0.0
0.1,4.1,0.0,-0.6140750109334476,Done,1,C6_x=0.1_y=4.1_z=0.0.log,0.0
0.2,4.1,0.0,-0.6547985273646191,Done,2,C6_x=0.2_y=4.1_z=0.0.log,0.0
0.3,4.1,0.0,-0.7194527651881799,Done,2,C6_x=0.3_y=4.1_z=0.0.log,0.0
0.4,4.1,0.0,-0.8036075037671253,Done,2,C6_x=0.4_y=4.1_z=0.0.log,0.0
0.5,4.1,0.0,-0.901946478348691,Done,1,C6_x=0.5_y=4.1_z=0.0.log,0.0
0.6,4.1,0.0,-1.0088817125069909,Done,2,C6_x=0.6_y=4.1_z=0.0.log,0.0
0.7,4.1,0.0,-1.1191942055011168,Done,2,C6_x=0.7_y=4.1_z=0.0.log,0.0
0.8,4.1,0.0,-1.2285905338358134,Done,2,C6_x=0.8_y=4.1_z=0.0.log,0.0
0.9,4.1,0.0,-1.3339281274820678,Done,1,C6_x=0.9_y=4.1_z=0.0.log,0.0
1.0,4.1,0.0,-1.4332648430136032,Done,2,C6_x=1.0_y=4.1_z=0.0.log,0.0
1.1,4.1,0.0,-1.5258206854341552,Done,2,C6_x=1.1_y=4.1_z=0.0.log,0.0
1.2,4.1,0.0,-1.611909409868531,Done,2,C6_x=1.2_y=4.1_z=0.0.log,0.0
1.3,4.1,0.0,-1.692525619524531,Done,1,C6_x=1.3_y=4.1_z=0.0.log,0.0
1.4,4.1,0.0,-1.7683062372379936,Done,2,C6_x=1.4_y=4.1_z=0.0.log,0.0
1.5,4.1,0.0,-1.839626513828989,Done,2,C6_x=1.5_y=4.1_z=0.0.log,0.0
1.6,4.1,0.0,-1.907592121860944,Done,2,C6_x=1.6_y=4.1_z=0.0.log,0.0
1.7,4.1,0.0,-1.9709624742390588,Done,2,C6_x=1.7_y=4.1_z=0.0.log,0.0
1.8,4.1,0.0,-2.029314629151486,Done,2,C6_x=1.8_y=4.1_z=0.0.log,0.0
1.9,4.1,0.0,-2.08113816997502,Done,1,C6_x=1.9_y=4.1_z=0.0.log,0.0
2.0,4.1,0.0,-2.124923307739664,Done,2,C6_x=2.0_y=4.1_z=0.0.log,0.0
2.1,4.1,0.0,-2.1586300074122846,Done,2,C6_x=2.1_y=4.1_z=0.0.log,0.0
2.2,4.1,0.0,-2.1810346244601533,Done,2,C6_x=2.2_y=4.1_z=0.0.log,0.0
2.3,4.1,0.0,-2.1905539511935785,Done,2,C6_x=2.3_y=4.1_z=0.0.log,0.0
2.4,4.1,0.0,-2.1864324654452503,Done,1,C6_x=2.4_y=4.1_z=0.0.log,0.0
0.0,4.2,0.0,-1.6037611925275996,Done,2,C6_x=0.0_y=4.2_z=0.0.log,0.0
0.1,4.2,0.0,-1.6118742693797683,Done,2,C6_x=0.1_y=4.2_z=0.0.log,0.0
0.2,4.2,0.0,-1.6355458290781826,Done,2,C6_x=0.2_y=4.2_z=0.0.log,0.0
0.3,4.2,0.0,-1.6729975084308537,Done,1,C6_x=0.3_y=4.2_z=0.0.log,0.0
0.4,4.2,0.0,-1.7215642723022029,Done,2,C6_x=0.4_y=4.2_z=0.0.log,0.0
0.5,4.2,0.0,-1.7779209454311058,Done,2,C6_x=0.5_y=4.2_z=0.0.log,0.0
0.6,4.2,0.0,-1.8386858762823977,Done,2,C6_x=0.6_y=4.2_z=0.0.log,0.0
0.7,4.2,0.0,-1.900821916526184,Done,1,C6_x=0.7_y=4.2_z=0.0.log,0.0
0.8,4.2,0.0,-1.9616125752218068,Done,2,C6_x=0.8_y=4.2_z=0.0.log,0.0
0.9,4.2,0.0,-2.018624368822202,Done,2,C6_x=0.9_y=4.2_z=0.0.log,0.0
1.0,4.2,0.0,-2.0703418605262414,Done,2,C6_x=1.0_y=4.2_z=0.0.log,0.0
1.1,4.2,0.0,-2.116458197881002,Done,2,C6_x=1.1_y=4.2_z=0.0.log,0.0
1.2,4.2,0.0,-2.1574000878608786,Done,2,C6_x=1.2_y=4.2_z=0.0.log,0.0
1.3,4.2,0.0,-2.1927652964368463,Done,1,C6_x=1.3_y=4.2_z=0.0.log,0.0
1.4,4.2,0.0,-2.222626614733599,Done,2,C6_x=1.4_y=4.2_z=0.0.log,0.0
1.5,4.2,0.0,-2.2479033450363204,Done,2,C6_x=1.5_y=4.2_z=0.0.log,0.0
1.6,4.2,0.0,-2.268198900972493,Done,2,C6_x=1.6_y=4.2_z=0.0.log,0.0
1.7,4.2,0.0,-2.28382013499504,Done,2,C6_x=1.7_y=4.2_z=0.0.log,0.0
1.8,4.2,0.0,-2.29358105303254,Done,1,C6_x=1.8_y=4.2_z=0.0.log,0.0
1.9,4.2,0.0,-2.297333562804852,Done,2,C6_x=1.9_y=4.2_z=0.0.log,0.0
2.0,4.2,0.0,-2.2940221924800426,Done,2,C6_x=2.0_y=4.2_z=0.0.log,0.0
2.1,4.2,0.0,-2.2827138348366134,Done,2,C6_x=2.1_y=4.2_z=0.0.log,0.0
2.2,4.2,0.0,-2.262812982662581,Done,1,C6_x=2.2_y=4.2_z=0.0.log,0.0
2.3,4.2,0.0,-2.23377872252604,Done,2,C6_x=2.3_y=4.2_z=0.0.log,0.0
2.4,4.2,0.0,-2.19523894082522,Done,2,C6_x=2.4_y=4.2_z=0.0.log,0.0
0.0,4.3,0.0,-2.2131135631352663,Done,2,C6_x=0.0_y=4.3_z=0.0.log,0.0
0.1,4.3,0.0,-2.2173919263877906,Done,1,C6_x=0.1_y=4.3_z=0.0.log,0.0
0.2,4.3,0.0,-2.2299088683212176,Done,2,C6_x=0.2_y=4.3_z=0.0.log,0.0
0.3,4.3,0.0,-2.249590091989376,Done,2,C6_x=0.3_y=4.3_z=0.0.log,0.0
0.4,4.3,0.0,-2.274773323268164,Done,2,C6_x=0.4_y=4.3_z=0.0.log,0.0
0.5,4.3,0.0,-2.303608035261277,Done,2,C6_x=0.5_y=4.3_z=0.0.log,0.0
0.6,4.3,0.0,-2.3341715373680927,Done,2,C6_x=0.6_y=4.3_z=0.0.log,0.0
0.7,4.3,0.0,-2.364367318514269,Done,1,C6_x=0.7_y=4.3_z=0.0.log,0.0
0.8,4.3,0.0,-2.39212836092338,Done,2,C6_x=0.8_y=4.3_z=0.0.log,0.0
0.9,4.3,0.0,-2.4161312459618784,Done,2,C6_x=0.9_y=4.3_z=0.0.log,0.0
1.0,4.3,0.0,-2.435907851147931,Done,2,C6_x=1.0_y=4.3_z=0.0.log,0.0
1.1,4.3,0.0,-2.4509862889535725,Done,1,C6_x=1.1_y=4.3_z=0.0.log,0.0
1.2,4.3,0.0,-2.4605507963569835,Done,2,C6_x=1.2_y=4.3_z=0.0.log,0.0
1.3,4.3,0.0,-2.464495324238669,Done,2,C6_x=1.3_y=4.3_z=0.0.log,0.0
1.4,4.3,0.0,-2.4633670612238348,Done,2,C6_x=1.4_y=4.3_z=0.0.log,0.0
1.5,4.3,0.0,-2.4570518005639315,Done,2,C6_x=1.5_y=4.3_z=0.0.log,0.0
1.6,4.3,0.0,-2.4455081265768968,Done,1,C6_x=1.6_y=4.3_z=0.0.log,0.0
1.7,4.3,0.0,-2.4288270283141173,Done,2,C6_x=1.7_y=4.3_z=0.0.log,0.0
1.8,4.3,0.0,-2.406525950442301,Done,2,C6_x=1.8_y=4.3_z=0.0.log,0.0
1.9,4.3,0.0,-2.3784793909289874,Done,2,C6_x=1.9_y=4.3_z=0.0.log,0.0
2.0,4.3,0.0,-2.344624598918017,Done,1,C6_x=2.0_y=4.3_z=0.0.log,0.0
2.1,4.3,0.0,-2.304497844481375,Done,2,C6_x=2.1_y=4.3_z=0.0.log,0.0
2.2,4.3,0.0,-2.257804197841324,Done,2,C6_x=2.2_y=4.3_z=0.0.log,0.0
2.3,4.3,0.0,-2.20484611892607,Done,2,C6_x=2.3_y=4.3_z=0.0.log,0.0
2.4,4.3,0.0,-2.1457666799542494,Done,2,C6_x=2.4_y=4.3_z=0.0.log,0.0
0.0,4.4,0.0,-2.539204782282468,Done,2,C6_x=0.0_y=4.4_z=0.0.log,0.0
0.1,4.4,0.0,-2.541075389599428,Done,1,C6_x=0.1_y=4.4_z=0.0.log,0.0
0.2,4.4,0.0,-2.5465516693657264,Done,2,C6_x=0.2_y=4.4_z=0.0.log,0.0
0.3,4.4,0.0,-2.555112788279075,Done,2,C6_x=0.3_y=4.4_z=0.0.log,0.0
0.4,4.4,0.0,-2.5657741831382737,Done,2,C6_x=0.4_y=4.4_z=0.0.log,0.0
0.5,4.4,0.0,-2.5772921292227693,Done,1,C6_x=0.5_y=4.4_z=0.0.log,0.0
0.6,4.4,0.0,-2.588422274158802,Done,2,C6_x=0.6_y=4.4_z=0.0.log,0.0
0.7,4.4,0.0,-2.5979729763348587,Done,2,C6_x=0.7_y=4.4_z=0.0.log,0.0
0.8,4.4,0.0,-2.6048335431260057,Done,2,C6_x=0.8_y=4.4_z=0.0.log,0.0
0.9,4.4,0.0,-2.6080005860421807,Done,2,C6_x=0.9_y=4.4_z=0.0.log,0.0
1.0,4.4,0.0,-2.606679050019011,Done,1,C6_x=1.0_y=4.4_z=0.0.log,0.0
1.1,4.4,0.0,-2.60049242893001,Done,2,C6_x=1.1_y=4.4_z=0.0.log,0.0
1.2,4.4,0.0,-2.5890930822934024,Done,2,C6_x=1.2_y=4.4_z=0.0.log,0.0
1.3,4.4,0.0,-2.572404453821946,Done,2,C6_x=1.3_y=4.4_z=0.0.log,0.0
1.4,4.4,0.0,-2.5507396711036563,Done,1,C6_x=1.4_y=4.4_z=0.0.log,0.0
1.5,4.4,0.0,-2.523890400712844,Done,2,C6_x=1.5_y=4.4_z=0.0.log,0.0
1.6,4.4,0.0,-2.491687842528336,Done,2,C6_x=1.6_y=4.4_z=0.0.log,0.0
1.7,4.4,0.0,-2.454397433262784,Done,2,C6_x=1.7_y=4.4_z=0.0.log,0.0
1.8,4.4,0.0,-2.412189855647739,Done,2,C6_x=1.8_y=4.4_z=0.0.log,0.0
1.9,4.4,0.0,-2.3648749740968924,Done,2,C6_x=1.9_y=4.4_z=0.0.log,0.0
2.0,4.4,0.0,-2.3125218148343265,Done,1,C6_x=2.0_y=4.4_z=0.0.log,0.0
2.1,4.4,0.0,-2.255467978131492,Done,2,C6_x=2.1_y=4.4_z=0.0.log,0.0
2.2,4.4,0.0,-2.193785000126809,Done,2,C6_x=2.2_y=4.4_z=0.0.log,0.0
2.3,4.4,0.0,-2.127516806591302,Done,2,C6_x=2.3_y=4.4_z=0.0.log,0.0
2.4,4.4,0.0,-2.057041786029004,Done,1,C6_x=2.4_y=4.4_z=0.0.log,0.0
0.0,4.5,0.0,-2.667948498914484,Done,2,C6_x=0.0_y=4.5_z=0.0.log,0.0
0.1,4.5,0.0,-2.6684335641912185,Done,2,C6_x=0.1_y=4.5_z=0.0.log,0.0
0.2,4.5,0.0,-2.66975698270835,Done,2,C6_x=0.2_y=4.5_z=0.0.log,0.0
0.3,4.5,0.0,-2.671538483700715,Done,1,C6_x=0.3_y=4.5_z=0.0.log,0.0
0.4,4.5,0.0,-2.673182559781708,Done,2,C6_x=0.4_y=4.5_z=0.0.log,0.0
0.5,4.5,0.0,-2.67395125963958,Done,2,C6_x=0.5_y=4.5_z=0.0.log,0.0
0.6,4.5,0.0,-2.673058312910144,Done,2,C6_x=0.6_y=4.5_z=0.0.log,0.0
0.7,4.5,0.0,-2.669794005807489,Done,2,C6_x=0.7_y=4.5_z=0.0.log,0.0
0.8,4.5,0.0,-2.663424151833169,Done,1,C6_x=0.8_y=4.5_z=0.0.log,0.0
0.9,4.5,0.0,-2.653115417575464,Done,2,C6_x=0.9_y=4.5_z=0.0.log,0.0
1.0,4.5,0.0,-2.638362657453399,Done,2,C6_x=1.0_y=4.5_z=0.0.log,0.0
1.1,4.5,0.0,-2.619022799248341,Done,2,C6_x=1.1_y=4.5_z=0.0.log,0.0
1.2,4.5,0.0,-2.5949810086167417,Done,1,C6_x=1.2_y=4.5_z=0.0.log,0.0
1.3,4.5,0.0,-2.565955533529632,Done,2,C6_x=1.3_y=4.5_z=0.0.log,0.0
1.4,4.5,0.0,-2.5316985076642595,Done,2,C6_x=1.4_y=4.5_z=0.0.log,0.0
1.5,4.5,0.0,-2.4922080482938327,Done,2,C6_x=1.5_y=4.5_z=0.0.log,0.0
1.6,4.5,0.0,-2.447815480933059,Done,2,C6_x=1.6_y=4.5_z=0.0.log,0.0
1.7,4.5,0.0,-2.398860288201832,Done,2,C6_x=1.7_y=4.5_z=0.0.log,0.0
1.8,4.5,0.0,-2.3454108689911664,Done,1,C6_x=1.8_y=4.5_z=0.0.log,0.0
1.9,4.5,0.0,-2.287535621668212,Done,2,C6_x=1.9_y=4.5_z=0.0.log,0.0
2.0,4.5,0.0,-2.2255012380774133,Done,2,C6_x=2.0_y=4.5_z=0.0.log,0.0
2.1,4.5,0.0,-2.1596371610066853,Done,2,C6_x=2.1_y=4.5_z=0.0.log,0.0
2.2,4.5,0.0,-2.090319896291476,Done,1,C6_x=2.2_y=4.5_z=0.0.log,0.0
2.3,4.5,0.0,-2.0179974862840027,Done,2,C6_x=2.3_y=4.5_z=0.0.log,0.0
2.4,4.5,0.0,-1.9430909900693223,Done,2,C6_x=2.4_y=4.5_z=0.0.log,0.0
