theta,a,b,phi1,phib,A1,A2,E,E_p1,E_t1,E_t2,E_m,machine_type,status,file_name
28.5,7.9,6.1,39,112,2,-6,-50.85730385,-8.865913087,-12.92608476,-12.906519,-16.15878699,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,112,2,-6,-50.7429778,-8.88584908,-13.01497783,-12.73258578,-16.10956511,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,112,2,-6,-50.70512012,-8.833972828,-12.73433653,-12.92767237,-16.20913839,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=112_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,113,2,-6,-51.27666878,-9.26865528,-12.89959129,-12.79127679,-16.31714541,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,113,2,-6,-51.22542004,-9.24383726,-12.74731972,-12.87547608,-16.35878698,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,113,2,-6,-51.07703275,-9.284135952,-12.92363748,-12.5926385,-16.27662082,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=113_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,114,2,-6,-51.51800913,-9.537267211,-12.75058904,-12.79638472,-16.43376815,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,114,2,-6,-51.47689467,-9.556255664,-12.85522634,-12.66564301,-16.39976966,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,114,2,-6,-51.1884597,-9.567895974,-12.80292965,-12.45078359,-16.36685048,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=114_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,115,2,-6,-51.60993934,-9.734983061,-12.74129562,-12.69646631,-16.43719435,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,115,2,-6,-51.48060953,-9.74934049,-12.78859105,-12.53282425,-16.40985374,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,115,2,-6,-51.09686206,-9.757749124,-12.64692439,-12.30862748,-16.38356107,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=115_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,116,2,-6,-51.52367554,-9.855032,-12.71553006,-12.58125547,-16.37185801,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,116,2,-6,-51.30611782,-9.86573732,-12.69466535,-12.39543093,-16.35028422,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,116,2,-6,-50.81756991,-9.871491587,-12.44898891,-12.16733105,-16.32975837,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=116_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,117,2,-6,-51.27732139,-9.913239827,-12.66862996,-12.45521381,-16.24023779,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,39,117,2,-6,-50.96783973,-9.921039776,-12.5674377,-12.25565308,-16.22370918,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=39_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,117,2,-6,-50.36281969,-9.924679335,-12.20198215,-12.02798618,-16.20817203,1,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=117_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,118,2,-6,-50.88516529,-9.923336463,-12.59537444,-12.32181146,-16.04464292,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=118_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,40,119,2,-6,-50.35721603,-9.896497861,-12.48958253,-12.18395379,-15.78718184,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=40_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
28.5,7.9,6.1,38,119,2,-6,-48.95901707,-9.900419798,-11.52936046,-11.75800628,-15.77123054,2,Done,mono-C9-BTBT_a=7.9_b=6.1_theta=28.5_phib=119_A1=2_A2=-6_phi1=38_cx=0_cy=0_cz=0_R3=0.0_R4=0.0.log
