theta,a1,z1,a2,b2,z2,status
10,3.8,1.3,-0.7,4.1,0.0,NotYet
10,3.8,1.3,-0.1,4.2,0.0,NotYet
10,3.8,1.3,-0.6,4.2,0.0,NotYet
90,4.2,0.0,-0.6,3.7,-1.3,NotYet
90,4.2,0.0,0.6,3.7,-1.3,NotYet
90,4.2,0.0,-0.6,3.7,1.3,NotYet
90,4.2,0.0,0.6,3.7,1.3,NotYet
10,3.8,1.3,-0.2,4.2,0.0,NotYet
85,4.2,0.0,-0.4,3.7,1.3,NotYet
10,3.8,1.3,-0.5,4.2,0.0,NotYet
85,4.2,0.0,-0.4,3.7,-1.3,NotYet
90,4.2,0.0,-1.5,3.7,0.0,NotYet
90,4.2,0.0,1.5,3.7,0.0,NotYet
0,3.8,1.3,0.6,4.1,0.0,NotYet
0,3.8,1.3,-0.6,4.1,0.0,NotYet
10,3.8,1.3,-0.3,4.2,0.0,NotYet
90,4.2,0.0,-1.4,3.7,0.0,NotYet
90,4.2,0.0,1.4,3.7,0.0,NotYet
10,3.8,1.3,-0.4,4.2,0.0,NotYet
45,5.2,1.3,2.3,3.0,-1.3,NotYet
20,4.0,0.0,-1.5,3.9,0.0,NotYet
85,4.2,0.0,-0.3,3.7,-1.3,NotYet
85,4.2,0.0,-0.3,3.7,1.3,NotYet
85,4.2,0.0,0.6,3.8,-1.3,NotYet
85,4.2,0.0,0.6,3.8,1.3,NotYet
80,4.2,0.0,0.0,3.8,-1.3,NotYet
45,5.2,1.3,2.3,3.0,1.3,NotYet
10,3.8,1.3,0.0,4.2,0.0,NotYet
80,4.2,0.0,0.0,3.8,1.3,NotYet
80,4.2,0.0,0.6,3.8,-1.3,NotYet
80,4.2,0.0,0.6,3.8,1.3,NotYet
90,4.3,2.5,0.7,3.7,1.3,NotYet
90,4.3,2.5,-0.7,3.7,-1.3,NotYet
90,4.3,2.5,0.7,3.7,-1.3,NotYet
90,4.3,2.5,-0.7,3.7,1.3,NotYet
90,4.3,0.1,-0.7,3.7,-1.3,NotYet
90,4.3,0.1,0.7,3.7,1.3,NotYet
90,4.2,0.0,-0.5,3.7,-1.3,NotYet
90,4.2,0.0,0.5,3.7,-1.3,NotYet
90,4.2,0.0,-0.5,3.7,1.3,NotYet
90,4.2,0.0,0.5,3.7,1.3,NotYet
90,4.3,0.1,-0.7,3.7,1.3,NotYet
90,4.3,0.1,0.7,3.7,-1.3,NotYet
50,5.2,1.3,2.3,3.0,-1.3,NotYet
55,5.2,1.3,2.3,3.0,1.3,NotYet
50,5.2,1.3,2.3,3.0,1.3,NotYet
80,4.2,0.0,0.1,3.8,-1.3,NotYet
80,4.2,0.0,0.1,3.8,1.3,NotYet
5,3.8,1.3,-0.6,4.2,0.0,NotYet
90,4.2,0.0,-1.6,3.7,0.0,NotYet
90,4.2,0.0,1.6,3.7,0.0,NotYet
5,3.8,1.3,0.3,4.2,0.0,NotYet
80,4.2,0.0,0.5,3.8,-1.3,NotYet
80,4.2,0.0,0.5,3.8,1.3,NotYet
0,3.8,1.3,0.5,4.1,0.0,NotYet
0,3.8,1.3,-0.5,4.1,0.0,NotYet
35,4.6,0.0,2.2,3.4,0.0,NotYet
10,3.8,1.3,-0.8,4.2,-2.5,NotYet
10,3.8,1.3,-0.8,4.2,-0.1,NotYet
10,3.8,1.2,-0.7,4.1,0.0,NotYet
5,3.8,1.3,0.2,4.2,0.0,NotYet
85,4.2,0.0,-0.2,3.8,-1.3,NotYet
10,3.8,1.3,-0.7,4.2,-2.5,NotYet
10,3.8,1.3,-0.7,4.2,2.5,NotYet
10,3.8,1.3,-0.8,4.2,0.1,NotYet
85,4.2,0.0,-0.2,3.8,1.3,NotYet
10,3.8,1.3,-0.8,4.2,2.5,NotYet
45,5.2,1.2,2.2,3.1,-1.3,NotYet
45,5.2,1.2,2.3,3.1,1.2,NotYet
45,5.2,1.2,2.2,3.1,1.3,NotYet
85,4.2,0.0,0.5,3.8,-1.3,NotYet
85,4.2,0.0,0.5,3.8,1.3,NotYet
10,3.8,1.3,0.1,4.2,0.0,NotYet
10,3.8,1.3,-0.8,4.2,0.0,NotYet
45,5.2,1.4,2.2,3.1,-1.3,NotYet
45,5.2,1.4,2.3,3.1,-1.2,NotYet
80,4.2,0.0,0.2,3.8,-1.3,NotYet
45,5.2,1.4,2.2,3.1,1.3,NotYet
80,4.2,0.0,0.2,3.8,1.3,NotYet
80,4.2,0.0,0.4,3.8,-1.3,NotYet
45,5.2,1.3,2.2,3.1,-1.3,NotYet
80,4.2,0.0,0.4,3.8,1.3,NotYet
45,5.2,1.3,2.2,3.1,1.3,NotYet
90,4.2,0.0,-1.4,3.8,-0.1,NotYet
90,4.2,0.0,1.4,3.8,-0.1,NotYet
90,4.2,0.0,-1.4,3.8,0.1,NotYet
90,4.2,0.0,1.4,3.8,0.1,NotYet
85,4.2,0.0,-0.4,3.8,1.2,NotYet
85,4.2,0.0,-0.4,3.8,-1.2,NotYet
10,3.8,1.3,-0.7,4.2,-0.1,NotYet
10,3.8,1.3,-0.7,4.2,0.1,NotYet
80,4.2,0.0,0.3,3.8,-1.3,NotYet
80,4.2,0.0,0.3,3.8,1.3,NotYet
20,4.0,2.5,-1.4,4.0,0.0,NotYet
10,3.8,1.2,-0.1,4.2,0.0,NotYet
20,4.0,0.1,-1.4,4.0,0.0,NotYet
90,4.2,0.0,0.7,3.8,1.2,NotYet
90,4.2,0.0,-0.7,3.8,1.2,NotYet
90,4.2,0.0,0.7,3.8,-1.2,NotYet
90,4.2,0.0,-0.7,3.8,-1.2,NotYet
5,3.8,1.3,-0.7,4.2,0.0,NotYet
90,4.2,0.0,-1.4,3.8,2.5,NotYet
90,4.2,0.0,1.4,3.8,2.5,NotYet
10,3.8,1.3,-0.1,4.2,2.5,NotYet
10,3.8,1.3,-0.1,4.2,-2.5,NotYet
90,4.2,0.0,-1.4,3.8,-2.5,NotYet
90,4.2,0.0,1.4,3.8,-2.5,NotYet
10,3.8,1.4,-0.7,4.1,0.0,NotYet
80,4.2,2.5,0.0,3.8,-1.3,NotYet
10,3.8,1.3,0.0,4.2,-2.5,NotYet
80,4.2,2.5,0.0,3.8,1.3,NotYet
10,3.8,1.3,0.0,4.2,2.5,NotYet
5,3.8,1.3,0.4,4.2,0.0,NotYet
20,4.0,0.0,-1.4,4.0,0.0,NotYet
90,4.2,0.0,0.7,3.8,1.4,NotYet
90,4.2,0.0,-0.7,3.8,1.4,NotYet
90,4.2,0.0,0.7,3.8,-1.4,NotYet
90,4.2,0.0,-0.7,3.8,-1.4,NotYet
10,3.8,1.3,-0.1,4.2,-0.1,NotYet
80,4.2,2.5,0.6,3.8,-1.3,NotYet
10,3.8,1.3,-0.1,4.2,0.1,NotYet
10,3.8,1.2,-0.6,4.2,0.0,NotYet
80,4.2,2.5,0.6,3.8,1.3,NotYet
90,4.3,2.5,-0.6,3.7,-1.3,NotYet
90,4.3,2.5,0.6,3.7,-1.3,NotYet
90,4.2,0.0,0.7,3.8,1.3,NotYet
90,4.2,0.0,-0.7,3.8,1.3,NotYet
90,4.3,2.5,-0.6,3.7,1.3,NotYet
90,4.3,2.5,0.6,3.7,1.3,NotYet
90,4.2,0.0,0.7,3.8,-1.3,NotYet
90,4.2,0.0,-0.7,3.8,-1.3,NotYet
5,3.8,1.3,-0.5,4.2,0.0,NotYet
10,3.8,1.3,-0.6,4.2,-2.5,NotYet
10,3.8,1.3,-0.6,4.2,2.5,NotYet
80,4.2,0.0,-0.1,3.8,1.2,NotYet
80,4.2,0.0,-0.1,3.8,-1.2,NotYet
90,4.2,0.0,-0.4,3.8,-1.3,NotYet
90,4.2,0.0,0.4,3.8,-1.3,NotYet
80,4.2,0.0,-0.1,3.8,1.3,NotYet
90,4.2,0.0,0.6,3.8,1.2,NotYet
90,4.2,0.0,-0.6,3.8,1.2,NotYet
90,4.2,0.0,-0.6,3.8,-1.2,NotYet
90,4.2,0.0,0.6,3.8,-1.2,NotYet
90,4.2,0.0,-0.4,3.8,1.3,NotYet
90,4.2,0.0,0.4,3.8,1.3,NotYet
80,4.2,0.0,-0.1,3.8,-1.3,NotYet
90,4.2,0.0,-1.7,3.8,0.0,NotYet
90,4.2,0.0,1.7,3.8,0.0,NotYet
5,3.8,1.3,0.1,4.2,0.0,NotYet
45,5.2,1.2,2.3,3.1,-1.4,NotYet
85,4.2,0.0,-0.4,3.8,-1.4,NotYet
85,4.2,0.0,-0.1,3.8,-1.3,NotYet
10,3.8,1.2,-0.2,4.2,0.0,NotYet
85,4.2,0.0,-0.4,3.8,1.4,NotYet
85,4.2,0.0,-0.1,3.8,1.3,NotYet
90,4.3,0.1,-0.6,3.7,-1.3,NotYet
90,4.3,0.1,0.6,3.7,-1.3,NotYet
90,4.3,0.1,-0.6,3.7,1.3,NotYet
90,4.3,0.1,0.6,3.7,1.3,NotYet
85,4.2,0.0,0.4,3.8,-1.3,NotYet
85,4.2,0.0,0.4,3.8,1.3,NotYet
45,5.2,1.4,2.3,3.1,1.4,NotYet
90,4.3,2.5,1.4,3.7,2.5,NotYet
10,3.8,1.3,-0.6,4.2,-0.1,NotYet
10,3.8,1.3,-0.6,4.2,0.1,NotYet
90,4.3,2.5,-1.4,3.7,-2.5,NotYet
0,3.8,1.3,0.4,4.2,0.0,NotYet
0,3.8,1.3,-0.4,4.2,0.0,NotYet
10,3.8,1.4,-0.1,4.2,0.0,NotYet
10,3.8,1.3,-0.2,4.2,2.5,NotYet
10,3.8,1.3,-0.2,4.2,-2.5,NotYet
10,3.8,1.3,0.2,4.2,0.0,NotYet
20,4.0,0.2,-1.4,4.0,0.0,NotYet
0,3.8,1.3,-0.7,4.2,2.5,NotYet
0,3.8,1.3,0.7,4.2,-2.5,NotYet
0,3.8,1.3,-0.7,4.2,0.1,NotYet
0,3.8,1.3,0.7,4.2,-0.1,NotYet
10,3.8,1.2,-0.5,4.2,0.0,NotYet
0,3.9,1.2,0.6,4.1,0.0,NotYet
0,3.9,1.2,-0.6,4.1,0.0,NotYet
90,4.3,2.5,-1.4,3.7,0.1,NotYet
90,4.3,2.5,1.4,3.7,-0.1,NotYet
0,3.8,1.3,0.7,4.2,2.5,NotYet
0,3.8,1.3,-0.7,4.2,-2.5,NotYet
0,3.8,1.3,-0.7,4.2,-0.1,NotYet
0,3.8,1.3,0.7,4.2,0.1,NotYet
5,3.8,1.3,0.5,4.2,0.0,NotYet
85,4.2,2.5,-0.4,3.7,1.3,NotYet
10,3.8,1.3,-0.5,4.2,-2.5,NotYet
10,3.8,1.3,-0.5,4.2,2.5,NotYet
0,3.9,1.2,0.7,4.1,0.0,NotYet
0,3.9,1.2,-0.7,4.1,0.0,NotYet
10,3.8,1.3,-0.2,4.2,-0.1,NotYet
85,4.2,2.5,-0.4,3.7,-1.3,NotYet
0,3.8,1.3,-0.7,4.2,0.0,NotYet
0,3.8,1.3,0.7,4.2,0.0,NotYet
10,3.8,1.3,-0.2,4.2,0.1,NotYet
10,3.8,1.2,-0.3,4.2,0.0,NotYet
90,4.3,0.1,-1.4,3.7,2.5,NotYet
90,4.3,0.1,1.4,3.7,-2.5,NotYet
